References,condition,Title,Result,Reason,Description,ID,Policy ID,Registry,Rationale,Remediation,Compliance,Rules
https://learn.microsoft.com/en-us/microsoft-365/security/defender-endpoint/enable-cloud-protection-microsoft-defender-antivirus?view=o365-worldwide,any,Ensure 'Configure local setting override for reporting to Microsoft MAPS' is set to 'Disabled'.,passed,,"This policy setting configures a local override for the configuration to join Microsoft Active Protection Service (MAPS), which Microsoft renamed to Windows Defender Antivirus Cloud Protection Service and then Microsoft Defender Antivirus Cloud Protection Service. The recommended state for this setting is: Disabled.",15818,cis_win10_enterprise,HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows Defender\Spynet,"The decision on whether or not to participate in Microsoft MAPS / Microsoft Defender Antivirus Cloud Protection Service for malicious software reporting should be made centrally in an enterprise managed environment, so that all computers within it behave consistently in that regard. Configuring this setting to Disabled ensures that the decision remains centrally managed.","To establish the recommended configuration via GP, set the following UI path to Disabled: Computer Configuration\Policies\Administrative Templates\Windows Components\Microsoft Defender Antivirus\MAPS\Configure local setting override for reporting to Microsoft MAPS Note: This Group Policy path is provided by the Group Policy template WindowsDefender.admx/adml that is included with the Microsoft Windows 8.1 & Server 2012 R2 Administrative Templates (or newer).","[{""value"":""18.10.43.5.1"",""key"":""cis""},{""value"":""9.2"",""key"":""cis_csc_v7""},{""value"":""4.8"",""key"":""cis_csc_v8""},{""value"":""CM.L2-3.4.7,CM.L2-3.4.8,SC.L2-3.13.6"",""key"":""cmmc_v2.0""},{""value"":""A.13.1.3"",""key"":""iso_27001-2013""},{""value"":""1.1.6,1.2.1,2.2.2,2.2.5"",""key"":""pci_dss_v3.2.1""},{""value"":""1.2.5,2.2.4,6.4.1"",""key"":""pci_dss_v4.0""},{""value"":""CC6.3,CC6.6"",""key"":""soc_2""}]","[{""type"":""numeric"",""rule"":""not r:HKEY_LOCAL_MACHINE\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Spynet""},{""type"":""numeric"",""rule"":""not r:HKEY_LOCAL_MACHINE\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Spynet -> LocalSettingOverrideSpynetReporting""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Spynet -> LocalSettingOverrideSpynetReporting -> 0""}]"
https://learn.microsoft.com/en-us/defender-endpoint/enable-cloud-protection,any,Ensure 'Join Microsoft MAPS' is set to 'Disabled'.,passed,,"This policy setting allows you to join Microsoft Active Protection Service (MAPS), which Microsoft renamed to Windows Defender Antivirus Cloud Protection Service and then Microsoft Defender Antivirus Cloud Protection Service. Microsoft MAPS / Microsoft Defender Antivirus Cloud Protection Service is the online community that helps you choose how to respond to potential threats. The community also helps stop the spread of new malicious software infections. You can choose to send basic or additional information about detected software. Additional information helps Microsoft create new definitions and help it to protect your computer. Possible options are: - - - (0x0) Disabled (default) (0x1) Basic membership (0x2) Advanced membership Basic membership will send basic information to Microsoft about software that has been detected including where the software came from the actions that you apply or that are applied automatically and whether the actions were successful. Advanced membership in addition to basic information will send more information to Microsoft about malicious software spyware and potentially unwanted software including the location of the software file names how the software operates and how it has impacted your computer. The recommended state for this setting is: Disabled. Note: In Windows 10 and above, Basic membership is no longer available, so setting the value to 1 Basic, or 2 Advanced, enrolls the device into Advanced membership. For more information, please visit: Turn on cloud protection in Microsoft Defender Antivirus - Microsoft Defender for Endpoint | Microsoft Learn.",15819,cis_win10_enterprise,HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows Defender\Spynet,"The information that would be sent can include things like location of detected items on your computer if harmful software was removed. The information would be automatically collected and sent. In some instances personal information might unintentionally be sent to Microsoft. However, Microsoft states that it will not use this information to identify you or contact you. For privacy reasons in high security environments, it is best to prevent these data submissions altogether.","To establish the recommended configuration via GP, set the following UI path to Disabled: Computer Configuration\Policies\Administrative Templates\Windows Components\Microsoft Defender Antivirus\MAPS\Join Microsoft MAPS Note: This Group Policy path is provided by the Group Policy template WindowsDefender.admx/adml that is included with the Microsoft Windows 8.1 & Server 2012 R2 Administrative Templates (or newer).","[{""value"":""18.10.43.5.2"",""key"":""cis""},{""value"":""9.2"",""key"":""cis_csc_v7""},{""value"":""4.8"",""key"":""cis_csc_v8""},{""value"":""CM.L2-3.4.7,CM.L2-3.4.8,SC.L2-3.13.6"",""key"":""cmmc_v2.0""},{""value"":""A.13.1.3"",""key"":""iso_27001-2013""},{""value"":""1.1.6,1.2.1,2.2.2,2.2.5"",""key"":""pci_dss_v3.2.1""},{""value"":""1.2.5,2.2.4,6.4.1"",""key"":""pci_dss_v4.0""},{""value"":""CC6.3,CC6.6"",""key"":""soc_2""}]","[{""type"":""numeric"",""rule"":""not r:HKEY_LOCAL_MACHINE\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Spynet""},{""type"":""numeric"",""rule"":""not r:HKEY_LOCAL_MACHINE\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Spynet -> SpynetReporting""}]"
"https://learn.microsoft.com/en-us/microsoft-365/security/defender-endpoint/enable-attack-surface-reduction?view=o365-worldwide,https://learn.microsoft.com/en-us/microsoft-365/security/defender-endpoint/attack-surface-reduction?view=o365-worldwide",all,Ensure 'Configure Attack Surface Reduction rules' is set to 'Enabled'.,failed,,This policy setting controls the state for the Attack Surface Reduction (ASR) rules. The recommended state for this setting is: Enabled.,15820,cis_win10_enterprise,HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR,Attack surface reduction helps prevent actions and apps that are typically used by exploit-seeking malware to infect machines.,"To establish the recommended configuration via GP, set the following UI path to Enabled: Computer Configuration\Policies\Administrative Templates\Windows Components\Microsoft Defender Antivirus\Microsoft Defender Exploit Guard\Attack Surface Reduction\Configure Attack Surface Reduction rules Note: This Group Policy path is provided by the Group Policy template WindowsDefender.admx/adml that is included with the Microsoft Windows 10 Release 1709 Administrative Templates (or newer).","[{""value"":""18.10.43.6.1.1"",""key"":""cis""},{""value"":""8.3"",""key"":""cis_csc_v7""},{""value"":""10.5"",""key"":""cis_csc_v8""},{""value"":""SI-16"",""key"":""nist_sp_800-53""},{""value"":""1.4"",""key"":""pci_dss_v3.2.1""},{""value"":""CC6.8"",""key"":""soc_2""}]","[{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR -> ExploitGuard_ASR_Rules""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR -> ExploitGuard_ASR_Rules -> 1""}]"
"https://learn.microsoft.com/en-us/microsoft-365/security/defender-endpoint/enable-attack-surface-reduction?view=o365-worldwide,https://learn.microsoft.com/en-us/microsoft-365/security/defender-endpoint/attack-surface-reduction?view=o365-worldwide",all,Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' is configured.,failed,,This policy setting sets the Attack Surface Reduction rules. The recommended state for this setting is: 26190899-1602-49e8-8b27-eb1d0a1ce869 - 1 (Block Office communication application from creating child processes) 3b576869-a4ec-4529-8536-b80a7769e899 - 1 (Block Office applications from creating executable content) 56a863a9-875e-4185-98a7-b882c64b5ce5 - 1 (Block abuse of exploited vulnerable signed drivers) 5beb7efe-fd9a-4556-801d-275e5ffc04cc - 1 (Block execution of potentially obfuscated scripts) 75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84 - 1 (Block Office applications from injecting code into other processes) 7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c - 1 (Block Adobe Reader from creating child processes) 92e97fa1-2edf-4476-bdd6-9dd0b4dddc7b - 1 (Block Win32 API calls from Office macro) 9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2 - 1 (Block credential stealing from the Windows local security authority subsystem (lsass.exe)) b2b3f03d-6a65-4f7b-a9c7-1c7ef74a9ba4 - 1 (Block untrusted and unsigned processes that run from USB) be9ba2d9-53ea-4cdc-84e5-9b1eeee46550 - 1 (Block executable content from email client and webmail) d3e037e1-3eb8-44c8-a917-57927947596d - 1 (Block JavaScript or VBScript from launching downloaded executable content) d4f940ab-401b-4efc-aadc-ad5f3c50688a - 1 (Block Office applications from creating child processes) e6db77e5-3df2-4cf1-b95a-636979351e5b - 1 (Block persistence through WMI event subscription) Note: More information on ASR rules can be found at the following link: Use Attack surface reduction rules to prevent malware infection | Microsoft Docs.,15821,cis_win10_enterprise,HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,Attack surface reduction helps prevent actions and apps that are typically used by exploit-seeking malware to infect machines.,"To establish the recommended configuration via GP, set the following UI path so that 26190899-1602-49e8-8b27-eb1d0a1ce869, 3b576869-a4ec-4529-8536-b80a7769e899, 56a863a9-875e-4185-98a7-b882c64b5ce5, 5beb7efe-fd9a-4556-801d-275e5ffc04cc, 75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84, 7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c, 92e97fa1-2edf-4476-bdd6-9dd0b4dddc7b, 9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2, b2b3f03d-6a65-4f7b-a9c7-1c7ef74a9ba4, be9ba2d9-53ea-4cdc-84e5-9b1eeee46550, d3e037e1-3eb8-44c8-a917-57927947596d, d4f940ab-401b-4efc-aadc-ad5f3c50688a, and e6db77e5-3df2-4cf1-b95a-636979351e5b are each set to a value of 1: Computer Configuration\Policies\Administrative Templates\Windows Components\Microsoft Defender Antivirus\Microsoft Defender Exploit Guard\Attack Surface Reduction\Configure Attack Surface Reduction rules: Set the state for each ASR rule Note: This Group Policy path is provided by the Group Policy template WindowsDefender.admx/adml that is included with the Microsoft Windows 10 Release 1709 Administrative Templates (or newer).","[{""value"":""18.10.43.6.1.2"",""key"":""cis""},{""value"":""8.3"",""key"":""cis_csc_v7""},{""value"":""10.5"",""key"":""cis_csc_v8""},{""value"":""SI-16"",""key"":""nist_sp_800-53""},{""value"":""1.4"",""key"":""pci_dss_v3.2.1""},{""value"":""CC6.8"",""key"":""soc_2""}]","[{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> 26190899-1602-49E8-8B27-eB1D0A1CE869""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> 26190899-1602-49E8-8B27-eB1D0A1CE869 -> 1""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> 3B576869-A4EC-4529-8536-B80A7769E899""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> 3B576869-A4EC-4529-8536-B80A7769E899 -> 1""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> 5BEB7EFE-FD9A-4556-801D-275E5FFC04CC""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> 5BEB7EFE-FD9A-4556-801D-275E5FFC04CC -> 1""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> 75668C1F-73B5-4CF0-BB93-3ECF5CB7CC84""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> 75668C1F-73B5-4CF0-BB93-3ECF5CB7CC84 -> 1""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> 7674BA52-37EB-4A4F-A9A1-F0F9A1619A2C""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> 7674BA52-37EB-4A4F-A9A1-F0F9A1619A2C -> 1""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> 92E97FA1-2EDF-4476-BDD6-9DD0B4DDDC7B""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> 92E97FA1-2EDF-4476-BDD6-9DD0B4DDDC7B -> 1""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> 9E6C4E1F-7D60-472F-bA1A-A39EF669E4B2""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> 9E6C4E1F-7D60-472F-bA1A-A39EF669E4B2 -> 1""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> B2B3F03D-6A65-4F7B-A9C7-1C7EF74A9BA4""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> B2B3F03D-6A65-4F7B-A9C7-1C7EF74A9BA4 -> 1""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> BE9BA2D9-53EA-4CDC-84E5-9B1EEEE46550""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> BE9BA2D9-53EA-4CDC-84E5-9B1EEEE46550 -> 1""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> D3E037E1-3EB8-44C8-A917-57927947596D""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> D3E037E1-3EB8-44C8-A917-57927947596D -> 1""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> D4F940AB-401B-4EFC-AADC-AD5F3C50688A""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\ASR\\Rules -> D4F940AB-401B-4EFC-AADC-AD5F3C50688A -> 1""}]"
https://learn.microsoft.com/en-us/microsoft-365/security/defender-endpoint/network-protection?view=o365-worldwide,all,Ensure 'Prevent users and apps from accessing dangerous websites' is set to 'Enabled: Block'.,failed,,This policy setting controls Microsoft Defender Exploit Guard network protection. The recommended state for this setting is: Enabled: Block.,15822,cis_win10_enterprise,HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\Network Protection,"This setting can help prevent employees from using any application to access dangerous domains that may host phishing scams, exploit-hosting sites, and other malicious content on the Internet.","To establish the recommended configuration via GP, set the following UI path to Enabled: Block: Computer Configuration\Policies\Administrative Templates\Windows Components\Windows Defender Antivirus\Windows Defender Exploit Guard\Network Protection\Prevent users and apps from accessing dangerous websites Note: This Group Policy path is provided by the Group Policy template WindowsDefender.admx/adml that is included with the Microsoft Windows 10 Release 1709 Administrative Templates (or newer).","[{""value"":""18.10.43.6.3.1"",""key"":""cis""},{""value"":""7.4,8.3"",""key"":""cis_csc_v7""},{""value"":""9.3,10.5"",""key"":""cis_csc_v8""},{""value"":""SC.L2-3.13.6"",""key"":""cmmc_v2.0""},{""value"":""A.13.1.1"",""key"":""iso_27001-2013""},{""value"":""SI-16"",""key"":""nist_sp_800-53""},{""value"":""1.1.6,1.4,11.4"",""key"":""pci_dss_v3.2.1""},{""value"":""1.2.6,1.4.2"",""key"":""pci_dss_v4.0""},{""value"":""CC5.2,CC6.6,CC6.8"",""key"":""soc_2""}]","[{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\Network Protection""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\Network Protection -> EnableNetworkProtection""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\SOFTWARE\\Policies\\Microsoft\\Windows Defender\\Windows Defender Exploit Guard\\Network Protection -> EnableNetworkProtection -> 1""}]"
